ID,TIPO,TELL,HLL,BONIFICACION,TE,TE + Bonificacion,Hora Inicio Buffer,Hora Inicio Servicio,Hora Finalización Servicio,Orden de atencion,Numero de servidores
1,Bancario,45.42914602082272,45.42914602082272,400,0,0,0,0,500,0,10
2,Bancario,9.232629502190413,54.661775523013134,400,0,0,0,0,600,0,10
3,Personal,11.132231848083096,65.79400737109623,1000,0,0,0,0,500,0,10
4,Bancario,25.56680798166199,91.36081535275822,400,0,0,0,0,400,0,10
5,Empresas,6.109975638719821,97.47079099147804,400,0,0,0,0,2200,0,10
6,Usuarios,1.2861141433859589,98.756905134864,0,0,0,0,0,500,0,10
7,Especial,42.62793636202286,141.38484149688685,1000,0,0,0,0,600,0,10
8,Bancario,8.958768885878005,150.34361038276487,400,0,0,0,0,800,0,10
9,Usuarios,63.48193890905613,213.825549291821,0,0,0,0,0,700,0,10
10,Bancario,121.07002742590008,334.8955767177211,400,0,0,0,0,700,0,10
11,Bancario,29.45175738089432,364.3473340986154,400,39.54528571609433,439.5452857160943,500,500,1100,0,10
12,Bancario,17.77678865515119,382.1241227537666,400,21.76849706094316,421.76849706094316,500,500,1200,1,10
13,Bancario,9.447413357664715,391.5715361114313,400,12.321083703278418,412.3210837032784,500,500,1400,2,10
14,Bancario,21.287967126781453,412.85950323821277,400,20.214718093027898,420.2147180930279,500,600,1600,3,10
15,Bancario,6.434350643609573,419.2938538818223,400,13.78036744941835,413.78036744941835,500,600,1500,4,10
16,Empresas,42.4973174948912,461.7911713767135,400,29.662678810355487,429.6626788103555,500,700,2400,5,10
17,Usuarios,22.69482236938816,484.48599374610166,0,6.967856440967353,6.967856440967353,600,700,1600,6,10
18,Usuarios,47.27266427070378,531.7586580168054,0,1.1127927438791403,1.1127927438791403,600,800,1800,7,10
19,Bancario,64.51226428009541,596.2709222969008,400,9.861608521807739,409.86160852180774,700,1100,2300,8,10
20,Personal,35.649073519706356,631.9199958166072,1000,79.67296395205153,1079.6729639520515,800,1200,2300,9,10
21,Usuarios,5.772613385223706,637.6926092018309,0,73.9003505668278,73.9003505668278,800,1400,2700,10,10
22,Personal,167.11152081814595,804.8041300199768,1000,276.34451810215,1276.34451810215,1100,1500,3000,11,10
23,Bancario,29.18031171212312,833.9844417321,400,247.16420639002683,647.1642063900268,1200,1600,3000,12,10
24,Usuarios,18.439898871839944,852.42434060394,0,228.72430751818683,228.72430751818683,7000,7200,8700,36,10
25,Usuarios,138.4562587821186,990.8805993860585,0,90.2680487360683,90.2680487360683,7000,7500,9100,37,10
26,Usuarios,5.697304707880424,996.577904093939,0,84.57074402818785,84.57074402818785,7200,7800,9400,38,10
27,Empresas,56.4016021192462,1052.9795062131852,400,28.169141908941583,428.1691419089416,4800,5700,8300,30,10
28,Bancario,6.2444610219762735,1059.2239672351616,400,21.924680886965234,421.92468088696523,1400,1600,3000,13,10
29,Empresas,117.69927642251622,1176.9232436576779,400,3.7656671842635205,403.7656671842635,8300,8300,11500,39,10
30,Bancario,164.85619877751503,1341.7794424351928,400,74.96764416207088,474.9676441620709,1600,2200,4100,15,10
31,Personal,13.717745819726291,1355.4971882549191,1000,61.24989834234452,1061.2498983423445,1500,1800,3500,14,10
32,Bancario,219.5488340841947,1575.0460223391137,400,21.57800018254943,421.57800018254943,5100,5700,7800,31,10
33,Personal,1.6926442211458972,1576.7386665602596,1000,19.885355961403548,1019.8853559614035,1600,2300,4300,16,10
34,Personal,48.21038449196308,1624.9490510522228,1000,87.25998466151782,1087.2599846615178,1800,2300,4500,17,10
35,Bancario,11.105381689366135,1636.054432741589,400,76.15460297215168,476.1546029721517,4300,5100,7200,28,10
36,Bancario,6.074681687007021,1642.129114428596,400,70.07992128514456,470.07992128514456,4500,5400,7500,29,10
37,Bancario,62.47580207652574,1704.6049165051218,400,7.60411920861884,407.60411920861884,5700,7000,9100,33,10
38,Usuarios,25.972713382560368,1730.5776298876822,0,412.79071011464885,412.79071011464885,5400,6000,8500,32,10
39,Bancario,9.108486169316967,1739.6861160569993,400,403.68222394533177,803.6822239453318,2700,3000,5700,22,10
40,Bancario,10.465589512821914,1750.1517055698212,400,393.21663443250986,793.2166344325099,3000,3500,6000,23,10
41,Empresas,4.333282470222857,1754.484988040044,400,388.88335196228695,788.883351962287,3000,4100,8500,24,10
42,Usuarios,15.709584976031149,1770.1945730160753,0,373.1737669862557,373.1737669862557,5700,7000,9400,34,10
43,VIP,50.72463382561411,1820.9192068416894,1800,322.4491331606416,2122.4491331606414,2200,2400,4800,18,10
44,Bancario,11.104350629668044,1832.0235574713574,400,311.3447825309736,711.3447825309736,3000,4300,7000,25,10
45,Personal,37.3365980966581,1869.3601555680154,1000,274.0081844343156,1274.0081844343156,2300,3000,5700,20,10
46,Bancario,5.4257071766103495,1874.7858627446258,400,268.58247725770525,668.5824772577052,3500,4500,7000,26,10
47,Usuarios,38.92729192124947,1913.7131546658752,0,229.65518533645582,229.65518533645582,6000,7200,9700,35,10
48,Bancario,26.99286907838708,1940.7060237442622,400,202.6623162580688,602.6623162580688,4100,4800,7200,27,10
49,Personal,5.472660296191121,1946.1786840404534,1000,197.18965596187763,1197.1896559618776,2400,3000,5400,21,10
50,VIP,87.23528392410762,2033.413967964561,1800,109.9543720377701,1909.95437203777,2300,2700,5100,19,10
