ID,TIPO,TELL,HLL,BONIFICACION,TE,TE + Bonificacion,Hora Inicio Buffer,Hora Inicio Servicio,Hora Finalización Servicio,Orden de atencion,Numero de servidores
1,Empresas,19.56901125811655,19.56901125811655,400,0,0,0,0,1200,0,6
2,Bancario,10.668441475716914,30.237452733833464,400,0,0,0,0,400,0,6
3,Personal,10.851132410501421,41.088585144334886,1000,0,0,0,0,300,0,6
4,Usuarios,37.54464628567643,78.6332314300113,0,0,0,0,0,500,0,6
5,VIP,35.518544339232726,114.15177576924404,1800,0,0,0,0,400,0,6
6,Usuarios,128.26848580205416,242.4202615712982,0,0,0,0,0,600,0,6
7,Personal,17.550795968321857,259.97105753962006,1000,30.20029476470461,1030.2002947647047,300,300,1000,0,6
8,Bancario,52.90372285619946,312.8747803958195,400,9.224933144743602,409.2249331447436,400,400,900,1,6
9,Bancario,80.31757579666048,393.19235619248,400,13.20450548896656,413.20450548896656,500,500,1200,2,6
10,Bancario,63.91766669074322,457.1100228832232,400,93.14180183153837,493.1418018315384,600,600,1500,3,6
11,Bancario,12.936814417487104,470.0468373007103,400,80.20498741405129,480.2049874140513,600,900,1900,4,6
12,Usuarios,98.60572005771536,568.6525573584256,0,322.3868595739908,322.3868595739908,10800,11900,13100,38,6
13,Usuarios,43.85030643217755,612.5028637906032,0,278.5365531418132,278.5365531418132,11300,12300,13700,39,6
14,Bancario,12.136453645563273,624.6393174361665,400,266.40009949624994,666.4000994962499,900,1200,2500,6,6
15,Bancario,7.126432434265162,631.7657498704317,400,259.2736670619847,659.2736670619847,900,1200,2500,7,6
16,Bancario,39.632405222553835,671.3981550929856,400,219.64126183943085,619.6412618394309,1000,1500,2700,8,6
17,Empresas,6.468991376339678,677.8671464693252,400,213.1722704630912,613.1722704630912,1200,1900,4000,9,6
18,Bancario,11.514889594593507,689.3820360639187,400,201.65738086849774,601.6573808684977,4800,5800,7000,20,6
19,Usuarios,9.74024391075523,699.1222799746739,0,191.9171369577425,191.9171369577425,11800,12500,13800,40,6
20,Bancario,10.568071690417352,709.6903516650913,400,181.34906526732516,581.3490652673252,5400,6500,7700,22,6
21,Bancario,3.5090284731489545,713.1993801382403,400,177.84003679417617,577.8400367941762,5800,7000,8200,23,6
22,Bancario,6.305361132148512,719.5047412703888,400,171.53467566202767,571.5346756620277,6300,7300,8700,24,6
23,Usuarios,46.47761358353321,765.982354853922,0,125.05706207849448,125.05706207849448,11900,12800,14100,41,6
24,Usuarios,51.90827472558617,817.8906295795081,0,73.14878735290836,73.14878735290836,12500,13700,15100,43,6
25,Bancario,21.179462356764706,839.0700919362728,400,51.969324996143655,451.96932499614365,7400,8300,9700,28,6
26,Personal,10.828704862308962,849.8987967985818,1000,41.14062013383466,1041.1406201338345,900,1000,2200,5,6
27,Bancario,14.600374578592392,864.4991713771742,400,26.540245555242223,426.5402455552422,8300,9700,10800,31,6
28,Bancario,13.094451951178156,877.5936233283524,400,13.445793604064079,413.4457936040641,9700,10600,11800,34,6
29,Bancario,6.379308922158917,883.9729322505112,400,7.0664846819051945,407.0664846819052,10500,11300,12500,36,6
30,Usuarios,103.95337945316251,987.9263117036737,0,114.11965948032525,114.11965948032525,12300,13100,14500,42,6
31,Personal,125.80597368788882,1113.7322853915625,1000,55.319329704740994,1055.319329704741,1200,2200,3600,10,6
32,Bancario,31.652658424520173,1145.3849438160828,400,23.666671280220726,423.6666712802207,8700,9800,11300,32,6
33,Personal,14.7976752939746,1160.1826191100574,1000,8.868995986246091,1008.8689959862461,2700,4200,5800,16,6
34,Especial,8.034263301142698,1168.2168824112002,1000,0.8347326851032904,1000.8347326851033,3600,4800,6500,17,6
35,Bancario,4.0384489863381035,1172.2553313975384,400,284.82593626300945,684.8259362630095,4200,5400,7400,19,6
36,Personal,18.87598263824648,1191.131314035785,1000,265.9499536247629,1265.9499536247629,1500,2500,4200,11,6
37,Personal,5.880212399014898,1197.0115264347999,1000,260.069741225748,1260.069741225748,2500,3600,5400,14,6
38,Bancario,60.90212330861836,1257.9136497434183,400,199.16761791712952,599.1676179171295,5100,6300,8300,21,6
39,Bancario,147.67664237841112,1405.5902921218294,400,51.49097553871843,451.49097553871843,7700,8700,10600,29,6
40,Bancario,32.325501425823745,1437.9157935476533,400,19.16547411289457,419.1654741128946,9600,10500,12300,33,6
41,Bancario,10.883948725733472,1448.7997422733868,400,8.281525387161082,408.2815253871611,9800,10800,12800,35,6
42,Usuarios,40.89897166519712,1489.698713938584,0,367.0202497808293,367.0202497808293,10600,11800,14100,37,6
43,Bancario,17.854743488533167,1507.553457427117,400,349.1655062922962,749.1655062922962,4000,5100,7300,18,6
44,Personal,64.49153023196848,1572.0449876590856,1000,284.67397606032773,1284.6739760603277,2200,2700,5100,13,6
45,VIP,19.605051474784847,1591.6500391338705,1800,265.06892458554285,2065.068924585543,1900,2500,4800,12,6
46,Personal,95.92232549761783,1687.5723646314882,1000,169.1465990879251,1169.146599087925,2500,4000,6300,15,6
47,Bancario,13.355292736931615,1700.92765736842,400,155.7913063509934,555.7913063509934,6500,7400,9600,25,6
48,Bancario,63.53058434933034,1764.4582417177503,400,92.260722001663,492.260722001663,7000,7700,9800,26,6
49,Bancario,28.358714553844862,1792.8169562715952,400,63.90200744781805,463.90200744781805,7300,8200,10500,27,6
50,Bancario,24.26973338461425,1817.0866896562095,400,39.632274063203795,439.6322740632038,8200,9600,11900,30,6
