ID,TIPO,TELL,HLL,BONIFICACION,TE,TE + Bonificacion,Hora Inicio Buffer,Hora Inicio Servicio,Hora Finalización Servicio,Orden de atencion,Numero de servidores
1,Bancario,7.774484497116284,7.774484497116284,400,0,0,0,0,600,0,5
2,Bancario,98.98057015966525,106.75505465678154,400,0,0,0,0,600,0,5
3,Bancario,65.21133117084234,171.96638582762387,400,0,0,0,0,500,0,5
4,Usuarios,74.7881758476774,246.75456167530126,0,0,0,0,0,600,0,5
5,Bancario,12.89870156091359,259.65326323621485,400,0,0,0,0,700,0,5
6,Bancario,89.04054084714512,348.69380408335996,400,147.3328303668369,547.3328303668369,500,600,1600,2,5
7,VIP,31.16041812638833,379.8542222097483,1800,116.17241224044858,1916.1724122404485,500,500,1600,0,5
8,Personal,69.2406158968756,449.0948381066239,1000,46.931796343572955,1046.9317963435728,500,600,1500,1,5
9,Bancario,125.29823679338826,574.3930749000122,400,3.8306033976854224,403.8306033976854,600,600,1800,3,5
10,Personal,20.27476208153063,594.6678369815428,1000,3.1156806723245154,1003.1156806723245,600,700,1600,4,5
11,Personal,166.80895878233892,761.4767957638817,1000,708.6072712638274,1708.6072712638274,1500,1600,3500,6,5
12,Especial,35.72546983330193,797.2022655971837,1000,672.8818014305255,1672.8818014305255,1500,1600,3600,7,5
13,Bancario,44.67060546323815,841.8728710604219,400,628.2111959672873,1028.2111959672873,17800,21000,23000,35,5
14,Bancario,122.5411473037842,964.4140183642061,400,505.67004866350305,905.670048663503,20500,21800,23800,37,5
15,Bancario,24.616465259906903,989.030483624113,400,481.0535834035961,881.0535834035961,21000,23000,24700,38,5
16,Personal,78.47359798375712,1067.5040816078701,1000,402.579985419839,1402.579985419839,1500,1600,3500,8,5
17,Personal,63.3678363781324,1130.8719179860025,1000,339.21214904170665,1339.2121490417067,1600,1800,3600,9,5
18,Bancario,57.02358244729096,1187.8955004332934,400,282.18856659441576,682.1885665944158,21300,23200,25200,39,5
19,Bancario,11.354400872303785,1199.2499013055972,400,270.83416572211195,670.834165722112,21800,23800,25800,40,5
20,Bancario,31.94428804244974,1231.1941893480468,400,238.88987767966228,638.8898776796623,23000,24400,26200,41,5
21,Personal,74.0022477806494,1305.1964371286963,1000,164.88762989901284,1164.8876298990128,1600,3500,5500,10,5
22,Personal,4.389390501194252,1309.5858276298904,1000,160.49823939781868,1160.4982393978187,1600,3500,5400,11,5
23,Bancario,15.26177198916921,1324.8475996190596,400,145.23646740864956,545.2364674086496,23200,24700,26800,42,5
24,Bancario,87.0817148606265,1411.9293144796861,400,58.154752548023,458.154752548023,23800,25200,27200,43,5
25,VIP,49.22714181220543,1461.1564562918916,1800,8.927610735817552,1808.9276107358176,1500,1500,3500,5,5
26,Personal,70.51238114233081,1531.6688374342225,1000,67.998512164678,1067.998512164678,1800,3500,5400,12,5
27,Bancario,160.34011680893673,1692.0089542431592,400,8.791360433266163,408.79136043326616,24400,25200,27400,44,5
28,Empresas,9.32887383333503,1701.3378280764944,400,1760.574569984669,2160.5745699846693,5400,7600,12900,19,5
29,Personal,73.34861801882847,1774.686446095323,1000,1687.2259519658405,2687.2259519658405,3500,3600,7400,13,5
30,Bancario,45.082979283635204,1819.7694253789582,400,1642.1429726822053,2042.1429726822053,7600,9500,13500,22,5
31,Personal,70.99278978048643,1890.7622151594446,1000,1571.1501829017188,2571.150182901719,3500,5400,9400,15,5
32,Usuarios,61.336727776517805,1952.0989429359624,0,1509.813455125201,1509.813455125201,16800,17800,21800,32,5
33,Transferido,74.13596419651984,2026.2349071324822,0,1435.6774909286812,1435.6774909286812,17300,18800,23200,33,5
34,Bancario,1.6281106423880227,2027.8630177748703,400,1434.0493802862932,1834.0493802862932,9400,12900,16800,24,5
35,Empresas,99.1320313388822,2126.9950491137524,400,1334.917348947411,1734.917348947411,12900,13500,17800,27,5
36,Bancario,17.958795445050413,2144.9538445588028,400,1316.9585535023607,1716.9585535023607,13300,15100,18800,28,5
37,Personal,21.133572538272052,2166.0874170970746,1000,1295.8249809640888,2295.824980964089,3600,5400,9300,16,5
38,Personal,7.815706700036409,2173.903123797111,1000,1288.0092742640522,2288.0092742640522,3600,5500,9500,17,5
39,Personal,48.568746642036025,2222.471870439147,1000,1239.4405276220164,2239.4405276220164,5400,7400,11300,18,5
40,Bancario,34.64795050150057,2257.1198209406475,400,1204.792577120516,1604.792577120516,13300,16800,20500,29,5
41,Bancario,31.522807797842066,2288.6426287384897,400,1173.2697693226737,1573.2697693226737,13500,17300,21000,30,5
42,Personal,52.62293796032752,2341.265566698817,1000,1120.6468313623463,2120.6468313623463,5500,9300,13300,20,5
43,Bancario,4.476762760678763,2345.742329459496,400,1116.1700686016675,1516.1700686016675,15100,17300,21300,31,5
44,Personal,44.990230037329304,2390.732559496825,1000,1071.1798385643383,2071.1798385643383,7400,9400,13300,21,5
45,Usuarios,70.98084566287609,2461.7134051597013,0,1000.1989929014621,1000.1989929014621,18800,21300,25200,36,5
46,Bancario,135.85867993365662,2597.572085093358,400,864.3403129678054,1264.3403129678054,17300,20500,24400,34,5
47,VIP,2.2753799327268633,2599.847465026085,1800,862.0649330350784,2662.0649330350784,3500,3600,7600,14,5
48,Personal,1.2287856900031178,2601.076250716088,1000,860.8361473450755,1860.8361473450755,9300,11300,15100,23,5
49,Personal,27.341817803237856,2628.418068519326,1000,833.4943295418375,1833.4943295418375,9500,13300,17300,25,5
50,Personal,41.431473544732256,2669.8495420640584,1000,792.0628559971051,1792.062855997105,11300,13300,17300,26,5
1,Empresas,19.56901125811655,19.56901125811655,400,0,0,0,0,1200,0,6
2,Bancario,10.668441475716914,30.237452733833464,400,0,0,0,0,400,0,6
3,Personal,10.851132410501421,41.088585144334886,1000,0,0,0,0,300,0,6
4,Usuarios,37.54464628567643,78.6332314300113,0,0,0,0,0,500,0,6
5,VIP,35.518544339232726,114.15177576924404,1800,0,0,0,0,400,0,6
6,Usuarios,128.26848580205416,242.4202615712982,0,0,0,0,0,600,0,6
7,Personal,17.550795968321857,259.97105753962006,1000,30.20029476470461,1030.2002947647047,300,300,1000,0,6
8,Bancario,52.90372285619946,312.8747803958195,400,9.224933144743602,409.2249331447436,400,400,900,1,6
9,Bancario,80.31757579666048,393.19235619248,400,13.20450548896656,413.20450548896656,500,500,1200,2,6
10,Bancario,63.91766669074322,457.1100228832232,400,93.14180183153837,493.1418018315384,600,600,1500,3,6
11,Bancario,12.936814417487104,470.0468373007103,400,80.20498741405129,480.2049874140513,600,900,1900,4,6
12,Usuarios,98.60572005771536,568.6525573584256,0,322.3868595739908,322.3868595739908,10800,11900,13100,38,6
13,Usuarios,43.85030643217755,612.5028637906032,0,278.5365531418132,278.5365531418132,11300,12300,13700,39,6
14,Bancario,12.136453645563273,624.6393174361665,400,266.40009949624994,666.4000994962499,900,1200,2500,6,6
15,Bancario,7.126432434265162,631.7657498704317,400,259.2736670619847,659.2736670619847,900,1200,2500,7,6
16,Bancario,39.632405222553835,671.3981550929856,400,219.64126183943085,619.6412618394309,1000,1500,2700,8,6
17,Empresas,6.468991376339678,677.8671464693252,400,213.1722704630912,613.1722704630912,1200,1900,4000,9,6
18,Bancario,11.514889594593507,689.3820360639187,400,201.65738086849774,601.6573808684977,4800,5800,7000,20,6
19,Usuarios,9.74024391075523,699.1222799746739,0,191.9171369577425,191.9171369577425,11800,12500,13800,40,6
20,Bancario,10.568071690417352,709.6903516650913,400,181.34906526732516,581.3490652673252,5400,6500,7700,22,6
21,Bancario,3.5090284731489545,713.1993801382403,400,177.84003679417617,577.8400367941762,5800,7000,8200,23,6
22,Bancario,6.305361132148512,719.5047412703888,400,171.53467566202767,571.5346756620277,6300,7300,8700,24,6
23,Usuarios,46.47761358353321,765.982354853922,0,125.05706207849448,125.05706207849448,11900,12800,14100,41,6
24,Usuarios,51.90827472558617,817.8906295795081,0,73.14878735290836,73.14878735290836,12500,13700,15100,43,6
25,Bancario,21.179462356764706,839.0700919362728,400,51.969324996143655,451.96932499614365,7400,8300,9700,28,6
26,Personal,10.828704862308962,849.8987967985818,1000,41.14062013383466,1041.1406201338345,900,1000,2200,5,6
27,Bancario,14.600374578592392,864.4991713771742,400,26.540245555242223,426.5402455552422,8300,9700,10800,31,6
28,Bancario,13.094451951178156,877.5936233283524,400,13.445793604064079,413.4457936040641,9700,10600,11800,34,6
29,Bancario,6.379308922158917,883.9729322505112,400,7.0664846819051945,407.0664846819052,10500,11300,12500,36,6
30,Usuarios,103.95337945316251,987.9263117036737,0,114.11965948032525,114.11965948032525,12300,13100,14500,42,6
31,Personal,125.80597368788882,1113.7322853915625,1000,55.319329704740994,1055.319329704741,1200,2200,3600,10,6
32,Bancario,31.652658424520173,1145.3849438160828,400,23.666671280220726,423.6666712802207,8700,9800,11300,32,6
33,Personal,14.7976752939746,1160.1826191100574,1000,8.868995986246091,1008.8689959862461,2700,4200,5800,16,6
34,Especial,8.034263301142698,1168.2168824112002,1000,0.8347326851032904,1000.8347326851033,3600,4800,6500,17,6
35,Bancario,4.0384489863381035,1172.2553313975384,400,284.82593626300945,684.8259362630095,4200,5400,7400,19,6
36,Personal,18.87598263824648,1191.131314035785,1000,265.9499536247629,1265.9499536247629,1500,2500,4200,11,6
37,Personal,5.880212399014898,1197.0115264347999,1000,260.069741225748,1260.069741225748,2500,3600,5400,14,6
38,Bancario,60.90212330861836,1257.9136497434183,400,199.16761791712952,599.1676179171295,5100,6300,8300,21,6
39,Bancario,147.67664237841112,1405.5902921218294,400,51.49097553871843,451.49097553871843,7700,8700,10600,29,6
40,Bancario,32.325501425823745,1437.9157935476533,400,19.16547411289457,419.1654741128946,9600,10500,12300,33,6
41,Bancario,10.883948725733472,1448.7997422733868,400,8.281525387161082,408.2815253871611,9800,10800,12800,35,6
42,Usuarios,40.89897166519712,1489.698713938584,0,367.0202497808293,367.0202497808293,10600,11800,14100,37,6
43,Bancario,17.854743488533167,1507.553457427117,400,349.1655062922962,749.1655062922962,4000,5100,7300,18,6
44,Personal,64.49153023196848,1572.0449876590856,1000,284.67397606032773,1284.6739760603277,2200,2700,5100,13,6
45,VIP,19.605051474784847,1591.6500391338705,1800,265.06892458554285,2065.068924585543,1900,2500,4800,12,6
46,Personal,95.92232549761783,1687.5723646314882,1000,169.1465990879251,1169.146599087925,2500,4000,6300,15,6
47,Bancario,13.355292736931615,1700.92765736842,400,155.7913063509934,555.7913063509934,6500,7400,9600,25,6
48,Bancario,63.53058434933034,1764.4582417177503,400,92.260722001663,492.260722001663,7000,7700,9800,26,6
49,Bancario,28.358714553844862,1792.8169562715952,400,63.90200744781805,463.90200744781805,7300,8200,10500,27,6
50,Bancario,24.26973338461425,1817.0866896562095,400,39.632274063203795,439.6322740632038,8200,9600,11900,30,6
1,Bancario,52.1245255792564,52.1245255792564,400,0,0,0,0,400,0,7
2,Personal,80.44216129772444,132.56668687698084,1000,0,0,0,0,700,0,7
3,Bancario,52.131313873338016,184.69800075031884,400,0,0,0,0,500,0,7
4,Bancario,78.69920038211535,263.3972011324342,400,0,0,0,0,900,0,7
5,Personal,42.59872003335967,305.99592116579385,1000,0,0,0,0,600,0,7
6,Bancario,19.339065023048335,325.3349861888422,400,0,0,0,0,900,0,7
7,Bancario,44.41640154232696,369.7513877311692,400,0,0,0,0,700,0,7
8,Bancario,45.64488455267656,415.39627228384575,400,28.36751064673541,428.3675106467354,500,500,1200,0,7
9,Personal,44.75640230565098,460.1526745894967,1000,106.0198342666269,1106.019834266627,600,600,1500,1,7
10,Bancario,9.473033391495633,469.62570798099233,400,96.54680087513128,496.5468008751313,600,700,1700,3,7
11,Bancario,65.47190099722872,535.097608978221,400,31.074899877902567,431.07489987790257,600,900,1800,4,7
12,Personal,17.90332734158293,553.0009363198039,1000,13.171572536319673,1013.1715725363197,600,700,1800,2,7
13,Bancario,8.855369116669396,561.8563054364733,400,4.3162034196502646,404.31620341965026,700,1200,2300,6,7
14,Personal,84.22722580046934,646.0835312369427,1000,16.174901131394563,1016.1749011313946,700,900,2000,5,7
15,Usuarios,67.68915530228605,713.7726865392287,0,106.32305164594459,106.32305164594459,11700,12200,13500,41,7
16,Bancario,67.00720137611093,780.7798879153397,400,39.31585026983362,439.3158502698336,900,1500,2800,7,7
